"Maker and Month Wise Data for Lakshadweep (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ATHER ENERGY LTD","1","2","3","0","3","1","0","0","0","10"
"BAJAJ AUTO LTD","1","4","8","3","6","3","3","1","0","29"
"CLASSIC LEGENDS PVT LTD","0","0","2","0","0","0","0","0","0","2"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","0","0","1","0","0","1"
"HERO MOTOCORP LTD","9","27","21","13","19","10","6","7","3","115"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","13","11","11","12","17","4","4","5","2","79"
"HYUNDAI MOTOR INDIA LTD","1","0","1","1","0","0","0","1","0","4"
"INDIA YAMAHA MOTOR PVT LTD","4","3","3","2","3","2","1","3","0","21"
"JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD)","0","1","0","0","0","0","0","0","0","1"
"JSW MG MOTOR INDIA PVT LTD","0","0","1","0","0","0","0","0","0","1"
"KIA INDIA PRIVATE LIMITED","1","0","0","1","0","1","0","0","0","3"
"MAHINDRA & MAHINDRA LIMITED","1","0","0","1","0","0","1","0","0","3"
"MAHINDRA LAST MILE MOBILITY LTD","0","0","0","0","0","1","0","0","0","1"
"MARUTI SUZUKI INDIA LTD","1","3","2","2","0","9","0","2","0","19"
"PIAGGIO VEHICLES PVT LTD","2","4","5","1","2","1","2","3","0","20"
"QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO)","0","1","0","0","0","0","0","0","0","1"
"RENAULT INDIA PVT LTD","0","0","0","0","1","4","0","0","0","5"
"REVOLT INTELLICORP PVT LTD","0","1","0","0","1","2","0","0","0","4"
"RIVER MOBILITY PVT LTD","0","0","1","1","0","1","0","0","0","3"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","13","15","7","9","10","6","11","7","1","79"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"SUZUKI MOTORCYCLE INDIA PVT LTD","26","47","41","37","39","17","17","33","1","258"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","1","0","0","0","0","0","0","0","0","1"
"TATA MOTORS LTD","0","1","0","1","0","0","1","0","0","3"
"TATA MOTORS PASSENGER VEHICLES LTD","0","1","0","0","0","0","0","0","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","0","0","2","1","1","0","0","1","0","5"
"TVS MOTOR COMPANY LTD","20","29","20","15","24","12","13","12","2","147"